"lon","lat","mean_sea_dist_m"
-85,38.0281677246094,673780.115189145
-82.5,38.0281677246094,456351.588527223
-80,38.0281677246094,239308.751809203
-77.5,38.0281677246094,36272.9722085845
-122.5,39.2957763671875,96655.1703276268
-120,39.2957763671875,193903.934296222
-117.5,39.2957763671875,377519.48586634
-115,39.2957763671875,584470.40496637
-112.5,39.2957763671875,787174.121389243
-110,39.2957763671875,925852.216369075
-107.5,39.2957763671875,1031633.46669739
-105,39.2957763671875,1162111.92551121
-102.5,39.2957763671875,1267979.18332011
-100,39.2957763671875,1161023.25219297
-97.5,39.2957763671875,1089620.70987903
-95,39.2957763671875,1043737.28416414
-92.5,39.2957763671875,1015281.6505183
-90,39.2957763671875,974972.085813231
-87.5,39.2957763671875,888055.310217818
-85,39.2957763671875,673740.234329569
-82.5,39.2957763671875,460307.493491607
-80,39.2957763671875,251236.516029978
-77.5,39.2957763671875,64072.6731847363
-75,39.2957763671875,13208.0132277024
-122.5,40.5633811950684,133839.246875017
-120,40.5633811950684,306932.152633678
-117.5,40.5633811950684,445834.378187188
-115,40.5633811950684,627950.347846576
-112.5,40.5633811950684,825996.128902299
-110,40.5633811950684,1027417.13342888
-107.5,40.5633811950684,1149117.2045227
-105,40.5633811950684,1270325.73218636
-102.5,40.5633811950684,1382034.04104963
-100,40.5633811950684,1289730.92579323
-97.5,40.5633811950684,1224171.07505368
-95,40.5633811950684,1183241.11525162
-92.5,40.5633811950684,1152576.09847441
-90,40.5633811950684,1099134.90080956
-87.5,40.5633811950684,904815.264625301
-85,40.5633811950684,699165.734089885
-82.5,40.5633811950684,500445.914962248
-80,40.5633811950684,316334.048482378
-77.5,40.5633811950684,162854.400047917
-75,40.5633811950684,53792.4957398226
-122.5,41.8309860229492,136874.831692878
-120,41.8309860229492,342319.35242868
-117.5,41.8309860229492,535524.035583978
-115,41.8309860229492,697959.371449668
-112.5,41.8309860229492,877322.233976348
-110,41.8309860229492,1068966.10143317
-107.5,41.8309860229492,1259652.13240796
-105,41.8309860229492,1383595.49548672
-102.5,41.8309860229492,1498128.88468244
-100,41.8309860229492,1421647.58761756
-97.5,41.8309860229492,1360108.99458346
-95,41.8309860229492,1324012.82146331
-92.5,41.8309860229492,1291051.75657481
-90,41.8309860229492,1140045.92050855
-85,41.8309860229492,749745.283184767
-80,41.8309860229492,407661.037519695
-77.5,41.8309860229492,278052.741406006
-75,41.8309860229492,112090.963770467
-72.5,41.8309860229492,56626.6661903526
-70,41.8309860229492,15801.69399407
-122.5,43.0985908508301,144142.416205774
-120,43.0985908508301,342084.012214431
-117.5,43.0985908508301,541912.197454666
-115,43.0985908508301,732978.817193
-112.5,43.0985908508301,904769.629478662
-110,43.0985908508301,1077580.73060681
-107.5,43.0985908508301,1255748.75800819
-105,43.0985908508301,1437369.82651384
-102.5,43.0985908508301,1600619.09895361
-100,43.0985908508301,1555137.59716952
-97.5,43.0985908508301,1497004.03342439
-95,43.0985908508301,1464899.43750201
-92.5,43.0985908508301,1375144.00207393
-90,43.0985908508301,1182605.91586844
-85,43.0985908508301,816255.657238149
-82.5,43.0985908508301,642802.032030196
-77.5,43.0985908508301,307789.347449991
-75,43.0985908508301,192924.65390073
-72.5,43.0985908508301,139189.669961367
-122.5,44.3661956787109,124872.222958963
-120,44.3661956787109,314619.980643211
-117.5,44.3661956787109,491162.80330537
