"lon","lat","mean_elev","sd_elev"
-107.5,38.0281677246094,3027.62541156183,527.813421895902
-105,38.0281677246094,2113.80923142583,515.922097043114
-102.5,38.0281677246094,1203.35053836737,85.4022717373698
-100,38.0281677246094,754.188235055262,57.7861914748729
-97.5,38.0281677246094,438.733812045295,26.507740144663
-95,38.0281677246094,290.486332821014,26.761955653475
-92.5,38.0281677246094,281.861267701154,53.3934669010828
-90,38.0281677246094,173.027030249309,53.2523912988016
-87.5,38.0281677246094,129.336264266973,14.5593267111977
-85,38.0281677246094,243.908877121957,34.9746212939981
-82.5,38.0281677246094,281.553138237259,74.3541795927039
-80,38.0281677246094,759.506426023409,236.600101898569
-77.5,38.0281677246094,62.4066528953823,34.0529984554877
-122.5,39.2957763671875,308.132610994906,294.068296284587
-120,39.2957763671875,1863.59854649416,337.790690594752
-117.5,39.2957763671875,1968.72430591487,344.632781903045
-115,39.2957763671875,2153.52835408381,292.62902486544
-112.5,39.2957763671875,1611.71471068421,300.341710092912
-110,39.2957763671875,1880.46988965787,426.940613531975
-107.5,39.2957763671875,2543.50239232381,480.881458320895
-105,39.2957763671875,2228.26148019336,414.383986454515
-102.5,39.2957763671875,1301.24139755455,89.5535706173887
-100,39.2957763671875,737.46818397357,61.3641038002077
-97.5,39.2957763671875,413.394101686622,33.2227739976305
-95,39.2957763671875,292.181825255107,30.4067786951696
-92.5,39.2957763671875,230.932195374769,24.4581761030918
-90,39.2957763671875,180.184356117143,19.8486950782414
-87.5,39.2957763671875,171.3462841715,24.9544320948415
-85,39.2957763671875,267.148822900605,44.0883837902884
-82.5,39.2957763671875,250.146987107084,37.4165060751502
-80,39.2957763671875,528.21452892034,187.980853392046
-77.5,39.2957763671875,160.733377250598,78.2014446008569
-75,39.2957763671875,6.65105658627144,15.9556906858353
-122.5,40.5633811950684,449.500466064883,337.928050419126
-120,40.5633811950684,1525.71229609919,258.846441190892
-117.5,40.5633811950684,1568.15395681152,262.998736445801
-115,40.5633811950684,1966.35341640439,291.88333515346
-112.5,40.5633811950684,1533.47604326196,306.919904131784
-110,40.5633811950684,2296.16420258827,642.694012456213
-107.5,40.5633811950684,2252.41050452551,313.391887244823
-105,40.5633811950684,1772.84744715772,336.87048876297
-102.5,40.5633811950684,1187.84714544265,74.5889779463593
-100,40.5633811950684,760.851778800496,58.2240004813631
-97.5,40.5633811950684,482.510891784143,32.3704505258067
-95,40.5633811950684,328.129475530174,30.9703121108167
-92.5,40.5633811950684,259.049176097424,29.3885263368393
-90,40.5633811950684,185.274061452183,30.2643193923405
-87.5,40.5633811950684,208.801283456116,19.0178875455802
-85,40.5633811950684,272.58842002022,30.8549625185417
-82.5,40.5633811950684,331.586016673864,38.6544153145912
-80,40.5633811950684,342.732751775386,43.938283345188
-77.5,40.5633811950684,314.784183819686,132.491427944169
-75,40.5633811950684,136.363861883661,96.6409215372161
-122.5,41.8309860229492,1323.11781706987,414.579328822934
-120,41.8309860229492,1699.82225798955,227.546844487928
-117.5,41.8309860229492,1659.1414161442,246.957075432909
-115,41.8309860229492,1885.21451108053,267.15621170867
-112.5,41.8309860229492,1505.33405127169,231.943691340097
-110,41.8309860229492,2037.94812787424,116.633641050057
-107.5,41.8309860229492,2137.57532132277,129.153331563273
-105,41.8309860229492,1768.18391273809,298.22597567299
-102.5,41.8309860229492,1185.76841131733,49.303779997615
-100,41.8309860229492,825.516434827008,47.7481293910216
-97.5,41.8309860229492,504.595178236187,40.3285087392208
-95,41.8309860229492,396.263288123088,29.5234197992119
-92.5,41.8309860229492,272.234536895206,24.8856002498905
-90,41.8309860229492,216.89477321874,30.4868636915344
-85,41.8309860229492,289.038268878712,25.4392523847647
-80,41.8309860229492,363.833436142797,107.763910044415
-77.5,41.8309860229492,538.138711564164,103.648857585541
-75,41.8309860229492,478.683599558007,135.592306301328
-72.5,41.8309860229492,134.76000124408,91.515751328085
-70,41.8309860229492,-24.3098089804813,34.1407450655342
-122.5,43.0985908508301,1366.50948410967,397.909722248888
-120,43.0985908508301,1451.95559255672,104.667684074888
-117.5,43.0985908508301,1290.19017601919,164.855643228758
-115,43.0985908508301,1391.50585685998,414.934817768754
-112.5,43.0985908508301,1538.87534499475,206.194313951372
-110,43.0985908508301,2577.48062950384,408.454777493417
-107.5,43.0985908508301,1941.06673868061,225.86725250071
-105,43.0985908508301,1453.47774548821,112.862262436188
-102.5,43.0985908508301,1023.48459156728,109.37129863713
-100,43.0985908508301,700.835697128218,76.626417764002
-97.5,43.0985908508301,423.859199780759,41.1882595046508
-95,43.0985908508301,410.409693179986,28.0499817835269
-92.5,43.0985908508301,342.062359921865,35.2311893460691
-90,43.0985908508301,297.746781093618,41.0480423515458
-85,43.0985908508301,253.028930065647,25.3188156154387
-82.5,43.0985908508301,200.595683659103,25.284135597379
-77.5,43.0985908508301,185.35296253503,118.399471151002
-75,43.0985908508301,420.152213088642,148.497377939996
-72.5,43.0985908508301,380.916485010856,161.98702573952
-122.5,44.3661956787109,824.679404530648,321.50392079948
-120,44.3661956787109,1279.36951061211,301.934566251424
-117.5,44.3661956787109,1110.35277147764,280.07663735302
-115,44.3661956787109,2264.75990742794,322.818057192
-112.5,44.3661956787109,2014.71168877875,388.306557273828
-110,44.3661956787109,2654.67377469319,328.455264186831
-107.5,44.3661956787109,2014.50766023426,662.272739071257
-105,44.3661956787109,1317.60078817657,95.2420894590249
-102.5,44.3661956787109,806.943614295761,70.6925961250616
-100,44.3661956787109,544.75010298512,45.4241270278047
-97.5,44.3661956787109,496.476899129911,50.0226916646403
-95,44.3661956787109,338.467377382868,41.4046644962683
-92.5,44.3661956787109,321.388884782452,49.7127269374753
-90,44.3661956787109,325.539155742464,37.0450896683996
-85,44.3661956787109,346.678567121444,45.123183076416
-75,44.3661956787109,320.28239017118,175.928969732158
-72.5,44.3661956787109,404.406578771622,153.734527874201
-70,44.3661956787109,167.565868892417,108.029744598772
